MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,1.756,Active Export Interval (kW),20-08-2025 13:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 13:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 13:00
10010803683,000000000022208324,1.890,Active Export Interval (kW),20-08-2025 13:00
10010803683,000000000022208324,1.548,Active Export Interval (kW),20-08-2025 12:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 12:30
10010803683,000000000022208324,1.634,Active Export Interval (kW),20-08-2025 12:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 12:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 11:30
10010803683,000000000022208324,1.662,Active Export Interval (kW),20-08-2025 11:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 11:00
10010803683,000000000022208324,2.050,Active Export Interval (kW),20-08-2025 11:00
10010803683,000000000022208324,1.538,Active Export Interval (kW),20-08-2025 10:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 10:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 10:00
10010803683,000000000022208324,1.792,Active Export Interval (kW),20-08-2025 10:00
10010803683,000000000022208324,0.422,Active Export Interval (kW),20-08-2025 09:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 09:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 09:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 09:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),20-08-2025 08:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 08:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 08:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 08:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 07:30
10010803683,000000000022208324,0.002,Active Export Interval (kW),20-08-2025 07:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 07:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 07:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 06:30
