MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 21:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 21:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 20:30
10010803683,000000000022208324,0.0170,Active Export Interval (kWh),19-08-2025 20:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 20:00
10010803683,000000000022208324,0.1960,Active Export Interval (kWh),19-08-2025 20:00
10010803683,000000000022208324,0.6650,Active Export Interval (kWh),19-08-2025 19:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 19:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 19:00
10010803683,000000000022208324,0.9670,Active Export Interval (kWh),19-08-2025 19:00
10010803683,000000000022208324,1.2210,Active Export Interval (kWh),19-08-2025 18:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 18:30
10010803683,000000000022208324,1.1280,Active Export Interval (kWh),19-08-2025 18:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 18:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 17:30
10010803683,000000000022208324,0.5390,Active Export Interval (kWh),19-08-2025 17:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 17:00
10010803683,000000000022208324,0.5890,Active Export Interval (kWh),19-08-2025 17:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 16:30
10010803683,000000000022208324,0.8430,Active Export Interval (kWh),19-08-2025 16:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 16:00
10010803683,000000000022208324,0.6840,Active Export Interval (kWh),19-08-2025 16:00
10010803683,000000000022208324,0.6710,Active Export Interval (kWh),19-08-2025 15:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 15:30
10010803683,000000000022208324,0.4180,Active Export Interval (kWh),19-08-2025 15:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 15:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 14:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 14:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 14:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 14:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 13:30
10010803683,000000000022208324,0.0020,Active Export Interval (kWh),19-08-2025 13:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 13:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 13:00
10010803683,000000000022208324,0.0120,Active Export Interval (kWh),19-08-2025 12:30
